Name,Description,"Vegetarian/
Non-Vegetarian",recipe_id,image_url,ingredients,cuisine,recipe_name,cookTime
Baati,"hard, unleavened bread cooked in most of areas of Rajasthan, and in some parts of Madhya Pradesh, and Gujarat states of India.",Vegetarian,g14gP5xKhLr8cLTLE1L0,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Dhara/Baked_Stuffed_Baati_With_Churma_And_Panchratna_Dal.jpg,"1 Green Chilli - finely chopped,1/4 cup White Urad Dal (Split),1 teaspoon Coriander Powder (Dhania),1 cup Green peas (Matar) - frozen,1 tablespoon Ghee,1 cup Whole Wheat Flour,1 teaspoon Coriander (Dhania) Seeds,1/2 cup Caster Sugar,1/2 teaspoon Cinnamon Powder (Dalchini),3 tablespoon Ghee - melted,Green Chilli - sliced,Ghee - melted (as required),1/4 cup Arhar dal (Split Toor Dal),Salt - to taste,1/4 cup Sooji (Semolina/ Rava),1/2 cup Milk,1 Kashmiri dry red chilli,Asafoetida (hing) - a pinch,2 teaspoons Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin seeds (Jeera),1/4 cup Chana dal (Bengal Gram Dal),Curry leaves - as required,1/4 cup Green Moong Dal (Split),1 tablespoon Coriander (Dhania) Leaves - finely chopped,1 tablespoon Badam (Almond) - chopped,2 tablespoons Gram flour (besan),1 tablespoon Sunflower Oil,2 Cloves (Laung),1 tablespoon Pistachios - chopped,1/2 teaspoon Red Chilli powder,Lemon - sliced,1/2 teaspoon Turmeric powder (Haldi),1 cup Tomato - chopped,1 teaspoon Mustard seeds,1/2 teaspoon Garam masala powder,Papad,1 teaspoon Fennel seeds (Saunf),4 tablespoons Ghee - Melted,1 Bay leaf (tej patta),1 teaspoon Salt",Rajasthani,Baked Stuffed Baati With Churma And Panchratna Dal Recipe,60
Biryani,"Mixed rice dish, optional spices, optional vegetables, meats or seafood. Can be served with plain yogurt.",Non-Vegetarian,dNC71UWkxd06KKinRzhu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Chicken_Biryani.jpg,"3 Onions - sliced thin,20 gram Garlic - ground to paste,1 tablespoon Garam masala powder,4 Tomatoes - finely chopped,2 tablespoon Red Chilli powder,20 gram Ginger - ground to paste,4 Green Chillies - slit at the center,Ghee - as needed,Salt - to taste,1/2 cup Hung Curd (Greek Yogurt),Salt - as required,1 tablespoon Red Chilli powder,2 tablespoon Coriander Powder (Dhania),4 cups Basmati rice,1/2 cup Coriander (Dhania) Leaves - finely chopped,1 kg Chicken - with bone,1 teaspoon Turmeric powder (Haldi),Sunflower Oil - as needed,1/2 cup Mint Leaves (Pudina) - finely chopped",North Indian Recipes,Chicken Dum Biryani Recipe,150
Chaat,"Street food. Usually containing potato patty fried in oil, topped with sweet yogurt, and other sauces and spices",Vegetarian,Jt2kVtObyBtcv4haMANu,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Street_Food/Dahi_Bhalla_Puri_Recipe-1.jpg,"1 Carrot (Gajjar) - grated,1 cup Green Chutney (Coriander & Mint),2 sprig Coriander (Dhania) Leaves - chopped,2 Onions - finely chopped,4 Curd Vada,1 cup Papdi puris,1 cup Boondi - or sev,Chaat Masala Powder - to taste,1 cup Sweet Chutney (Date & Tamarind),1/4 cup Raw Peanuts (Moongphali) - roasted and halved,Cumin powder (Jeera) - to taste,1 Anardana Powder (Pomegranate Seed Powder)",North Indian Recipes,Dahi Bhalla Papdi Chaat Recipe,40
Chicken Tikka,Chicken with spices served on a skewer,,R5EoBV5LBfhXYyzbNJWx,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/10-oct/Hariyali_Chicken_Tikka_Recipe-9373.jpg,"1 cup Coriander (Dhania) Leaves,1/2 teaspoon Turmeric powder (Haldi),1 Green Chilli,1 teaspoon Cumin powder (Jeera),1 cup Mint Leaves (Pudina),2 teaspoon Garam masala powder,Salt - to taste,1 teaspoon Red Chilli powder,1/4 cup Curd (Dahi / Yogurt),1 teaspoon Amchur (Dry Mango Powder),2 Chicken breasts - cut into cubes",North Indian Recipes,Hariyali Chicken Tikka Recipe,110
Dal,"Assorted types of lentils, sucfch as toor, urad, chana, masoor dal",Vegetarian,m54HxxMnqxbLlKHvi0P9,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Bengali_Cholar_Dal_Recipe_5_1600.jpg,"1 cup Chana dal (Bengal Gram Dal),1/2 cup Fresh coconut - cut into small bits,3 Dry Red Chillies,Salt - to taste,1 inch Cinnamon Stick (Dalchini),1 inch Ginger - peeled and grated,1 tablespoon Ghee,2 Cloves (Laung),1 Bay leaf (tej patta),1 teaspoon Turmeric powder (Haldi),1 tablespoon Mustard oil,1/2 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit into halves lengthwise",Bengali Recipes,Bengali gram dal recipe,40
Poha,"Specialty from Madhya Pradesh. Common snack in central part of India. Flattended rice, potato, turmeric.",Vegetarian,TCfLQ0p9I5qY4g46WxmU,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Indori_Poha.jpg,"1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Sugar,2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 tablespoon Raw Peanuts (Moongphali),Salt - to taste,1/2 teaspoon Ginger - grated,1 teaspoon Mustard seeds,1 Onion - chopped,2 Green Chillies - finely chopped,1/4 cup Fresh Pomegranate Fruit Kernels,1 teaspoon Fennel seeds (Saunf),7-8 Curry leaves,1/2 teaspoon Red Chilli powder,2 tablespoons Sunflower Oil,1/2 teaspoon Cumin seeds (Jeera),2-1/2 cup Poha (Flattened rice)",North Indian Recipes,Indori Poha Recipe,40
Firni,This is a dessert made of fine flour and ghee that is made only in Pundri.,Vegetarian,lxFhKcvNezoFzEd6TS9F,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Kesar_Pista_Phirni_video_recipe_11_1600.jpg,"2 tablespoons Badam (Almond) - blanched and slivered,2 tablespoons Pistachios - chopped,3/4 cup Sugar,Saffron strands - a few,1 teaspoon Cardamom Powder (Elaichi),1/4 cup Basmati rice - soaked for 30 minutes,700 ml Milk",Mughlai,Saffron Pistachio Firni Recipe,50
Kachori,Rajasthani / Marwari special,Vegetarian,Kk04hLgTSAZ1ZKC3lgqu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Easyfoodsmith/Chatpati_Sattu_Kachori_Recipe_.jpg,"500 grams All Purpose Flour (Maida),Water - as required,Sunflower Oil - for frying,200 grams Roasted Gram Flour (Sattu Ka Atta),1/4 cup Sooji (Semolina/ Rava),2 tablespoons Mustard oil,2 Green Chillies - finely chopped,1/4 cup Pickle - red chilli pickle,1-1/2 teaspoon Ginger - finely chopped,1/2 teaspoon Salt,1/2 teaspoon Ajwain (Carom seeds),1-1/2 teaspoon Garlic - finely chopped,2 teaspoons Lemon juice,3 Coriander (Dhania) Leaves - chopped fine for garnish,2 tablespoons Sunflower Oil,1 Onion - small",Rajasthani,Chatpati Sattu Ki Kachori Recipe - Kachori Stuffed with Sattu and Pickle,60
Kheer,Rice cooked with milk and dry fruits,Vegetarian,2dIWfOC0d5jySvNX4WJA,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/aarti/Nariyal_Ki_Kheer_edited1.jpg,"1 tablespoon Whole cashews - chopped,Saffron strands - a pinch,3/4 cup Sugar - adjustable,1 Fresh coconut - grated,1 tablespoon Badam (Almond) - chopped,1/2 teaspoon Cardamom Powder (Elaichi),1 tablespoon Pistachios - chopped,1 liter Milk",Indian,Nariyal Ki Kheer Recipe - Coconut Pudding,70
Khichdi,Rice cooked with daal and veggies and sauteed,Vegetarian,Pbryeko5N2mXbRcbOysa,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Alaka_Jena/Khichdi.jpg,"1/2 teaspoon Turmeric powder (Haldi),1/4 teaspoon Cumin seeds (Jeera),2 Cardamom (Elaichi) Pods/Seeds,1-2 Dry Red Chilli,1 tablespoon Ginger - grated,Green Chillies,1 cup Rice,Lime Wedges - Lime wedges,1/2 cup Yellow Moong Dal (Split),1 tablespoon Ghee,1 Bay leaf (tej patta),1/4 teaspoon Asafoetida (hing),Salt - as per taste,3 cups Water,Coriander (Dhania) Leaves,1/2 inch Cinnamon Stick (Dalchini)",Indian,Khichdi With Fresh Spices Recipe,60
