flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
559,GoAir,Lucknow,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:45,17:45,28-10-2018,30-03-2019
580,GoAir,Kochi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:45,06:15,28-10-2018,30-03-2019
587,GoAir,Kochi,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20,19:20,28-10-2018,30-03-2019
587,GoAir,Kochi,Hyderabad,Monday,17:50,19:20,28-10-2018,30-03-2019
553,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:05,12:45,29-10-2018,30-03-2019
552,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:35,22:20,28-10-2018,30-03-2019
553,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:00,12:45,01-04-2019,26-10-2019
552,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:40,22:20,31-03-2019,26-10-2019
701,GoAir,Jaipur,Hyderabad,Saturday,08:55,10:55,28-10-2018,24-03-2019
431,GoAir,Jaipur,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:45,15:05,28-10-2018,30-03-2019
894,GoAir,Bengaluru,Hyderabad,Saturday,11:30,12:40,28-10-2018,24-03-2019
952,GoAir,Guwahati,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:25,09:45,28-10-2018,30-03-2019
662,GoAir,Goa,Hyderabad,Saturday,10:45,12:10,28-10-2018,24-03-2019
125,GoAir,Kolkata,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,19:20,28-10-2018,30-03-2019
424,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:20,12:45,28-10-2018,30-03-2019
996,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:55,01:25,28-10-2018,30-03-2019
616,GoAir,Nagpur,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:25,10:05,01-12-2018,31-01-2019
158,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:40,16:10,28-10-2018,30-03-2019
151,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:05,19:25,28-10-2018,30-03-2019
851,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:25,17:40,31-03-2019,26-10-2019
758,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:20,18:35,31-03-2019,26-10-2019
208,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",06:40,08:00,28-10-2018,30-11-2018
208,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",06:40,08:00,01-02-2019,29-03-2019
188,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:30,20:00,28-10-2018,30-03-2019
327,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:55,10:10,28-10-2018,30-03-2019
643,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:15,23:30,28-10-2018,30-03-2019
712,GoAir,Leh,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25,11:05,28-10-2018,31-01-2019
221,GoAir,Leh,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:25,12:55,01-02-2019,30-03-2019
134,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15,10:05,28-10-2018,30-11-2018
134,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15,10:05,01-02-2019,30-03-2019
944,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:55,14:45,28-10-2018,30-03-2019
132,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:05,17:55,28-10-2018,30-03-2019
150,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,18:55,28-10-2018,30-03-2019
218,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05,21:55,28-10-2018,30-11-2018
144,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:25,00:20,28-10-2018,30-11-2018
144,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:25,00:20,01-02-2019,30-03-2019
720,GoAir,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:10,09:50,28-10-2018,30-03-2019
718,GoAir,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:35,19:15,28-10-2018,30-03-2019
714,GoAir,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:20,00:10,28-10-2018,30-03-2019
720,GoAir,Ahmedabad,Delhi,"Monday,Wednesday,Thursday,Saturday",09:30,11:20,31-03-2019,25-10-2019
720,GoAir,Ahmedabad,Delhi,"Sunday,Tuesday,Friday",09:30,11:20,01-04-2019,26-10-2019
718,GoAir,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:55,20:40,31-03-2019,26-10-2019
116,GoAir,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:45,10:40,28-10-2018,30-03-2019
124,GoAir,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:40,14:35,29-10-2018,30-03-2019
118,GoAir,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55,23:50,28-10-2018,30-03-2019
246,GoAir,Ranchi,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,13:10,28-10-2018,30-03-2019
174,GoAir,Pune,Delhi,Friday,10:45,13:10,03-11-2018,30-03-2019
174,GoAir,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",11:15,13:30,28-10-2018,29-03-2019
278,GoAir,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55,23:15,28-10-2018,30-03-2019
155,GoAir,Guwahati,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20,20:15,28-10-2018,30-03-2019
205,GoAir,Jammu,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,12:55,01-02-2019,30-03-2019
186,GoAir,Jammu,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:00,17:25,28-10-2018,30-03-2019
285,GoAir,Goa,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:45,20:15,28-10-2018,30-03-2019
102,GoAir,Kolkata,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:20,16:55,28-10-2018,30-03-2019
129,GoAir,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25,11:10,01-02-2019,30-03-2019
129,GoAir,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15,12:50,28-10-2018,31-01-2019
224,GoAir,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:40,16:45,28-10-2018,30-03-2019
697,GoAir,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:15,17:45,28-10-2018,30-03-2019
736,GoAir,Patna,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:55,20:10,28-10-2018,30-03-2019
760,GoAir,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:40,10:55,28-10-2018,30-03-2019
405,GoAir,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:50,23:05,28-10-2018,30-03-2019
615,GoAir,Delhi,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:05,07:55,01-12-2018,31-01-2019
142,GoAir,Mumbai,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:00,20:40,28-10-2018,30-03-2019
473,GoAir,Patna,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:35,23:45,28-10-2018,30-03-2019
809,GoAir,Bengaluru,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,12:45,28-10-2018,30-03-2019
812,GoAir,Bengaluru,Nagpur,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:10,23:55,28-10-2018,30-03-2019
812,GoAir,Bengaluru,Nagpur,Monday,23:00,00:45,30-10-2018,26-03-2019
283,GoAir,Pune,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:40,08:55,28-10-2018,30-03-2019
157,GoAir,Delhi,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15,13:10,28-10-2018,30-03-2019
155,GoAir,Delhi,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:30,15:30,28-10-2018,30-03-2019
151,GoAir,Guwahati,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:30,16:35,28-10-2018,30-03-2019
981,GoAir,Chennai,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:50,12:40,28-10-2018,30-03-2019
541,GoAir,Kolkata,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:55,14:10,28-10-2018,30-03-2019
207,GoAir,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",05:00,06:10,28-10-2018,30-11-2018
207,GoAir,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",05:00,06:10,01-02-2019,29-03-2019
211,GoAir,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:00,10:15,28-10-2018,30-03-2019
214,GoAir,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:50,18:00,28-10-2018,30-03-2019
463,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:55,07:20,01-03-2019,30-03-2019
395,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35,12:55,28-10-2018,30-11-2018
395,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35,12:55,01-12-2018,31-01-2019
395,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35,12:55,01-02-2019,30-03-2019
497,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:10,17:25,28-10-2018,30-03-2019
805,GoAir,Bengaluru,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:20,10:45,28-10-2018,30-03-2019
808,GoAir,Bengaluru,Lucknow,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:00,18:30,28-10-2018,30-03-2019
808,GoAir,Bengaluru,Lucknow,Monday,16:40,19:05,30-10-2018,26-03-2019
805,GoAir,Bengaluru,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:20,10:35,31-03-2019,26-10-2019
581,GoAir,Hyderabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:50,08:55,28-10-2018,30-03-2019
701,GoAir,Hyderabad,Kochi,Saturday,11:45,13:20,28-10-2018,24-03-2019
591,GoAir,Hyderabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:25,21:15,28-10-2018,30-03-2019
347,GoAir,Mumbai,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45,12:50,28-10-2018,30-11-2018
